-12.123155	5121
-7.7335405	162075
-5.199125	221835
-3.872608	91815
-3.871044	14008
-3.8275476	140246
-3.1816928	6328
-3.1792593	236276
-3.0401516	37621
-3.033105	133533
-2.8142223	30072
-2.691245	4408
-2.5674942	55868
-2.429775	18641
-2.220193	24006
-2.2111387	17381
-2.202122	88384
-1.9576036	177216
-1.7442471	65911
-1.6202624	425155
-1.4999117	206407
-1.3577784	141606
-1.3204858	701981
-1.2186598	286181
-1.1861987	15433
-1.1484444	124292
-1.06	145902
-1.0151219	974
-0.9963297	61396
-0.988369	587189
-0.98667306	59562
-0.9843747	223501
-0.97482884	616377
-0.9447638	25961
-0.9205098	333795
-0.86094505	78951
-0.8151233	430191
-0.81112427	586266
-0.79069465	6317
-0.7834912	4983
-0.77824545	538597
-0.76149637	988
-0.7414234	36930
-0.73944086	16988
-0.73128134	49869
-0.72355556	698375
-0.7071432	110477
-0.69783217	590711
-0.6967193	48535
-0.69410753	343268
-0.6865932	34430
-0.6618736	722521
-0.6494279	7034
-0.63976485	1366
-0.62618864	64509
-0.6022219	285434
-0.58194447	569679
-0.5745706	98709
-0.5721677	66576
-0.57126665	89710
-0.5705508	365783
-0.568	47506
-0.5581327	126153
-0.53422666	22743
-0.5201841	65083
-0.51413333	289559
-0.5119757	56104
-0.5101075	2194
-0.48094618	22946
-0.47777802	58172
-0.46554136	86164
-0.45787543	316025
-0.45588934	419994
-0.45511138	3883
-0.45422137	41605
-0.4333333	151283
-0.4250656	708502
-0.4231111	17610
-0.4097782	13065
-0.40961146	107538
-0.40622288	11
-0.40355554	10373
-0.40244445	180733
-0.40142223	2793
-0.39708441	30334
-0.39473444	511696
-0.38666666	46331
-0.3848889	120621
-0.37777779	254424
-0.3769105	48468
-0.37164897	163962
-0.37155557	635
-0.36817777	112069
-0.36344108	13758
-0.3600463	563051
-0.3592889	26269
-0.35777864	149821
-0.35200536	33605
-0.34426945	94754
-0.3422222	635625
-0.34074065	350558
-0.33822426	16366
-0.32745728	307
-0.3256109	307280
-0.3246389	526022
-0.32355556	117744
-0.3191111	2596
-0.3180995	565889
-0.31499717	25596
-0.31422222	28086
-0.3128889	235279
-0.3071111	583036
-0.30525932	35629
-0.30133334	1488
-0.29714754	48321
-0.29013333	142549
-0.285	461421
-0.2848889	205112
-0.2844438	100232
-0.2832488	1877
-0.28000423	68306
-0.27907696	486752
-0.27733332	24916
-0.276	74171
-0.2728889	191980
-0.2728889	9135
-0.2728889	15425
-0.27221775	37753
-0.27160284	11840
